,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Clustering,D,W,M,3M,6M,A,YTD,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
AIZ,0.052815741409575866,0.47991939197718014,0.11005127588611219,KR,0.015010882440063995,0.0,0.25%,-3.76%,5.50%,12.84%,33.20%,6.09%,-1.66%,Assurant,Financials,Multi-line Insurance,AIZ,NLOK,NEM,AKAM,LLY,DXCM,MKTX,CLX,KR,EBAY,0.30613820534743885,0.22302729647310118,0.13,0.21,0.12,0.0,0.03,0.01,0.02,0.21,0.15,0.11,0.3806944270256579,0.2402463539005141,0.01,0.19,0.1,0.02,0.12,0.12,0.01,0.21,0.06,0.16
T,-0.18579335309803935,0.345314708461556,-0.5380406584063122,DPZ,0.17182331993053285,3.0,-2.05%,-0.82%,0.03%,2.73%,-1.43%,-21.37%,3.96%,AT&T Inc.,Communication Services,Integrated Telecommunication Services,T,TROW,AMAT,SIVB,NWSA,CARR,FFIV,KEYS,ANET,ALB,0.3981010291178871,0.3235979602365488,0.17,0.19,0.0,0.01,0.09,0.16,0.17,0.18,0.02,0.0,0.7538073632451312,0.40107582386012836,0.01,0.06,0.05,0.23,0.02,0.35,0.13,0.02,0.08,0.05
ATO,-0.15567807164909112,0.40105265078783947,-0.38817365087419964,VNT,0.042760253064504254,3.0,-0.13%,-1.04%,-0.48%,0.46%,-3.01%,-12.73%,-4.56%,Atmos Energy,Utilities,Gas Utilities,ATO,LUMN,TROW,OTIS,NWSA,ANET,GOOGL,GOOG,AMAT,SIVB,0.267155660003691,0.30518647732240706,0.16,0.05,0.06,0.21,0.02,0.17,0.08,0.18,0.04,0.01,0.3990786877951412,0.33493631234976506,0.0,0.28,0.05,0.29,0.03,0.01,0.03,0.12,0.13,0.06
ADSK,0.40374225772626643,0.49410957298551045,0.8171107782566803,KR,0.09866042926973384,2.0,-6.27%,-3.03%,8.96%,32.18%,27.66%,66.43%,-6.08%,Autodesk Inc.,Information Technology,Application Software,ADSK,REGN,KR,NLOK,LUMN,DXCM,CLX,NEM,AKAM,LLY,0.3361088086075359,0.2274150449678639,0.07,0.05,0.15,0.2,0.1,0.05,0.17,0.05,0.1,0.04,0.3644862191419338,0.2301320674840588,0.03,0.03,0.09,0.2,0.12,0.06,0.23,0.1,0.03,0.11
ADP,0.027134378480922008,0.4341594274253286,0.06249865088001313,VNT,0.054471148820177624,0.0,0.69%,0.53%,1.88%,27.00%,19.77%,5.86%,-2.77%,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,ADP,NFLX,EBAY,AMZN,CHD,TSCO,EA,WST,ATVI,AKAM,0.35853491376726665,0.26490113875442584,0.03,0.01,0.14,0.1,0.21,0.21,0.06,0.06,0.04,0.12,0.4717031063032111,0.282953293240405,0.01,0.06,0.25,0.15,0.01,0.13,0.01,0.22,0.13,0.02
AZO,-0.043201337835675736,0.4103657614365024,-0.10527520055388553,KR,0.14090755733361351,3.0,-4.80%,-1.70%,4.20%,0.66%,5.08%,-0.49%,-2.59%,AutoZone Inc,Consumer Discretionary,Specialty Stores,AZO,REGN,KR,NLOK,LLY,LUMN,CLX,VNT,ENPH,ANET,0.2981406213645279,0.19289327702687922,0.15,0.03,0.21,0.22,0.06,0.03,0.03,0.24,0.0,0.02,0.5655861894514005,0.24283004259745522,0.01,0.02,0.06,0.08,0.06,0.12,0.26,0.25,0.13,0.01
AVB,-0.15697911684964236,0.49179165203414277,-0.3191984170539439,KR,0.05950783047866887,3.0,-2.52%,0.45%,-2.71%,8.52%,5.92%,-20.27%,4.15%,AvalonBay Communities,Real Estate,Residential REITs,AVB,KEYS,ALB,GOOG,GOOGL,LB,ANET,TT,FFIV,LRCX,0.28064281395479684,0.3316178501226135,0.1,0.09,0.02,0.18,0.07,0.0,0.1,0.21,0.2,0.02,0.5073771840920516,0.41038097885321156,0.0,0.01,0.27,0.17,0.08,0.14,0.08,0.02,0.18,0.05
AVY,0.15326791174305943,0.46983834689961634,0.3262141388723343,NFLX,0.11080478448964153,0.0,-4.31%,-1.66%,4.30%,21.84%,37.21%,20.86%,-0.44%,Avery Dennison Corp,Materials,Paper Packaging,AVY,DXCM,CLX,KR,NLOK,NEM,AKAM,REGN,LLY,EBAY,0.30432585903358284,0.2230218836912529,0.13,0.02,0.14,0.26,0.25,0.06,0.0,0.02,0.03,0.08,0.3816336597425406,0.24124359394624606,0.03,0.07,0.28,0.06,0.17,0.02,0.01,0.0,0.08,0.28
BKR,-0.16999137902458333,0.6812675282088942,-0.2495222096839167,CLX,0.04370822675248998,3.0,-0.97%,-3.06%,11.38%,58.70%,38.53%,-15.15%,-2.45%,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,BKR,AMZN,NFLX,DG,CHD,EBAY,MKTX,WST,NVDA,AKAM,0.27328839602248645,0.2589987526073906,0.07,0.02,0.13,0.22,0.22,0.14,0.01,0.01,0.0,0.17,0.4784714580008594,0.30169429674767606,0.02,0.13,0.1,0.12,0.01,0.11,0.07,0.28,0.11,0.05
BLL,0.28433946747282585,0.38476985221527843,0.7389858270749813,VNT,0.12303258009092968,0.0,-3.91%,0.35%,-2.95%,12.28%,34.55%,45.19%,-5.59%,Ball Corp,Materials,Metal & Glass Containers,BLL,VNT,REGN,KR,DXCM,LLY,LUMN,CLX,NLOK,AKAM,0.3594257029399097,0.19075822544067067,0.0,0.24,0.02,0.12,0.03,0.03,0.03,0.24,0.14,0.14,0.38199429306045163,0.19712597678364185,0.03,0.31,0.08,0.11,0.03,0.06,0.1,0.11,0.11,0.07
BAC,-0.11802219710384874,0.5662833998604047,-0.20841542791637999,CLX,0.02870997980530876,3.0,-3.59%,-4.42%,8.31%,26.60%,29.31%,-11.63%,0.28%,Bank of America Corp,Financials,Diversified Banks,BAC,NVDA,ATVI,TSCO,WST,CHD,BIO,ROL,WMT,EBAY,0.34776893816836296,0.25827184017084265,0.01,0.0,0.02,0.18,0.08,0.11,0.1,0.05,0.28,0.16,0.5151042999929213,0.3182759434418119,0.0,0.19,0.09,0.06,0.2,0.06,0.01,0.22,0.03,0.15
BK,-0.1690881234106938,0.48070227197970683,-0.35175228674149467,CLX,0.04421290183469444,3.0,-3.68%,-7.99%,8.49%,24.64%,11.69%,-12.91%,-4.30%,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,BK,ODFL,ADBE,BIO,WMT,TSCO,ATVI,MSFT,NOW,TMUS,0.2723745893913303,0.2760050685807767,0.17,0.15,0.0,0.04,0.21,0.22,0.13,0.0,0.03,0.03,0.4226609277301938,0.30474018445317486,0.0,0.05,0.03,0.09,0.1,0.22,0.13,0.01,0.17,0.18
BAX,-0.05767225580668388,0.35971663273188254,-0.16032690890240353,VNT,0.03708507540244756,3.0,-3.45%,-0.66%,5.82%,0.10%,-6.24%,-2.95%,-2.45%,Baxter International Inc.,Health Care,Health Care Equipment,BAX,AKAM,LLY,NLOK,VNT,DXCM,LUMN,REGN,FFIV,EA,0.36162649139173786,0.2086545403086807,0.06,0.02,0.11,0.13,0.27,0.03,0.12,0.06,0.12,0.07,0.424059936182704,0.23824136657574935,0.01,0.04,0.22,0.07,0.29,0.2,0.12,0.0,0.03,0.01
BDX,-0.04019617719888357,0.3552341199624521,-0.11315404388275616,VNT,0.00988144995329648,0.0,-2.89%,-1.14%,6.92%,7.91%,5.29%,-6.75%,2.28%,Becton Dickinson,Health Care,Health Care Equipment,BDX,TYL,CMI,CMG,TSCO,IDXX,MTD,MSFT,DHR,CDNS,0.31170037692195274,0.27262495377835233,0.2,0.13,0.11,0.1,0.2,0.04,0.03,0.03,0.14,0.01,0.4954240088913193,0.33403046440057704,0.0,0.01,0.02,0.16,0.17,0.22,0.04,0.03,0.13,0.22
BRK-B,0.021305463088892067,0.3364353762184422,0.06332705950357242,KR,0.15024711257320983,0.0,-1.82%,-0.24%,1.29%,8.89%,29.89%,2.37%,-0.03%,Berkshire Hathaway,Financials,Multi-Sector Holdings,BRK-B,NEM,NLOK,MKTX,AKAM,LLY,KR,NFLX,DXCM,EBAY,0.26418404323692984,0.21968392308425067,0.2,0.11,0.18,0.0,0.04,0.11,0.25,0.02,0.04,0.03,0.38702783870312407,0.2538751120362728,0.02,0.12,0.14,0.01,0.0,0.24,0.1,0.1,0.12,0.14
BBY,0.26747581455875064,0.49952977404746424,0.5354551989794619,VNT,0.1758530007085602,0.0,-0.99%,0.82%,-7.78%,-9.84%,15.57%,16.71%,14.93%,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,BBY,REGN,LLY,LUMN,KR,NLOK,DXCM,CLX,FFIV,VNT,0.36612669284208615,0.18442233011163747,0.01,0.0,0.08,0.01,0.21,0.17,0.06,0.16,0.06,0.23,0.3775007070263601,0.18916228984938224,0.01,0.04,0.07,0.02,0.22,0.03,0.05,0.17,0.13,0.28
BIO,0.38728522897725476,0.4025791412608139,0.9620101721225272,SPG,0.02945119804359159,2.0,-4.16%,-1.05%,8.25%,13.09%,29.11%,57.54%,-3.61%,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,BIO,VNT,LUMN,REGN,LLY,KR,NLOK,DXCM,AKAM,FFIV,0.3492101101574271,0.1927969039285458,0.02,0.27,0.11,0.05,0.0,0.23,0.12,0.05,0.11,0.02,0.4106454119646291,0.21380391682378275,0.14,0.38,0.1,0.02,0.11,0.02,0.06,0.07,0.03,0.05
BIIB,-0.11206195522588264,0.6421639073808338,-0.17450677924728733,HST,-0.04697988068127676,3.0,-2.40%,-2.32%,1.95%,-13.68%,-8.48%,-17.48%,9.01%,Biogen Inc.,Health Care,Biotechnology,BIIB,NLOK,REGN,LUMN,VNT,LLY,KR,DXCM,AKAM,NEM,0.3500620958358992,0.19577481926204557,0.02,0.17,0.0,0.07,0.23,0.07,0.21,0.04,0.09,0.1,0.38756550094324527,0.20864694392859612,0.0,0.2,0.01,0.1,0.24,0.09,0.11,0.12,0.06,0.07
BLK,0.3473474277084205,0.4656352222550984,0.745964676010111,VNT,0.12892008908546934,2.0,-3.33%,1.00%,3.85%,28.69%,34.09%,47.21%,-0.49%,BlackRock,Financials,Asset Management & Custody Banks,BLK,REGN,KR,NLOK,DXCM,CLX,LUMN,NEM,AKAM,LLY,0.326931118414474,0.22445844799445608,0.05,0.09,0.22,0.17,0.03,0.24,0.11,0.07,0.0,0.0,0.37456738195860384,0.23612071773191842,0.0,0.02,0.05,0.17,0.09,0.2,0.11,0.18,0.0,0.17
BA,-0.4672009165880436,0.844574357118058,-0.5531791400608868,CPB,-0.07540774534827223,1.0,-3.97%,0.74%,1.59%,29.53%,16.78%,-33.90%,-8.18%,Boeing Company,Industrials,Aerospace & Defense,BA,MTD,ANSS,FDX,MNST,PKI,IPGP,RMD,CMI,CHTR,0.32722441087125337,0.3033523110619519,0.0,0.12,0.04,0.05,0.17,0.23,0.02,0.01,0.14,0.21,0.3579922326077044,0.32431473545596023,0.0,0.01,0.0,0.17,0.11,0.23,0.16,0.13,0.01,0.19
BKNG,-0.03220837822870645,0.5055684675208671,-0.06370725291995602,CPB,-0.08789589192230085,3.0,-4.89%,-2.50%,9.80%,30.20%,39.87%,8.45%,-10.53%,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,BKNG,NLOK,DXCM,CLX,NEM,KR,AKAM,REGN,LLY,NFLX,0.27806747286889566,0.21784452775670904,0.15,0.13,0.02,0.24,0.07,0.25,0.0,0.04,0.09,0.01,0.358488961895112,0.2339332428103252,0.0,0.19,0.08,0.18,0.13,0.17,0.01,0.04,0.11,0.09
BWA,0.014487155665682618,0.49783075788295295,0.02910056366804229,CLX,-0.02926727633061678,3.0,2.14%,10.88%,-0.54%,0.17%,10.39%,-9.19%,12.99%,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,BWA,REGN,NLOK,KR,CLX,LLY,NEM,DXCM,VNT,MKTX,0.3309160946305443,0.1869542339809797,0.11,0.06,0.06,0.22,0.12,0.0,0.01,0.03,0.32,0.08,0.37646409564548555,0.19768920390262545,0.02,0.11,0.1,0.04,0.17,0.08,0.07,0.06,0.29,0.04
BXP,-0.31406514756215237,0.5632154652567729,-0.5576287707564429,KR,-0.006489070639361432,3.0,-3.24%,-4.05%,-2.68%,18.97%,6.97%,-28.33%,-2.33%,,,,BXP,TROW,SIVB,ANET,AMAT,ALB,KEYS,TT,FFIV,NWSA,0.26548451239920734,0.3452625931424495,0.11,0.15,0.0,0.05,0.01,0.03,0.2,0.16,0.27,0.0,0.4651017139327253,0.39624701247700145,0.0,0.04,0.02,0.04,0.13,0.26,0.25,0.04,0.17,0.04
BSX,-0.2007801622168996,0.4346633489637095,-0.4619210768416155,VNT,-0.009687584839024823,3.0,-2.24%,1.93%,8.45%,-5.91%,2.39%,-20.50%,1.03%,Boston Scientific,Health Care,Health Care Equipment,BSX,TSCO,MSFT,FDX,ALXN,DHR,EBAY,FAST,ADSK,ABMD,0.4061860847561482,0.28219943329121594,0.08,0.14,0.0,0.01,0.05,0.23,0.26,0.01,0.04,0.17,0.5003510234672833,0.3002562220953834,0.01,0.28,0.07,0.07,0.02,0.16,0.07,0.02,0.01,0.3
BMY,0.024341341497052752,0.29279840628374815,0.08313344941319042,DPZ,0.16371023971836132,0.0,-3.76%,-2.98%,0.20%,4.49%,7.95%,0.41%,1.92%,Bristol-Myers Squibb,Health Care,Health Care Distributors,BMY,CLX,KR,DXCM,NLOK,NEM,REGN,AKAM,NFLX,AMZN,0.25481084413385235,0.2145055920765637,0.26,0.11,0.23,0.0,0.12,0.02,0.03,0.05,0.07,0.1,0.3735693080694208,0.23955017232358666,0.01,0.29,0.13,0.04,0.16,0.05,0.03,0.06,0.05,0.19
AVGO,0.3608130315768242,0.5051949618528186,0.714205522267148,KR,0.11291400754951246,2.0,-4.13%,4.30%,9.96%,21.21%,41.19%,44.88%,3.14%,Broadcom Inc.,Information Technology,Semiconductors,AVGO,REGN,KR,NLOK,DXCM,CLX,NEM,AKAM,LUMN,LLY,0.3445259484590354,0.22632781342448363,0.05,0.02,0.17,0.27,0.05,0.16,0.07,0.03,0.09,0.08,0.36745442375754916,0.23369201178859184,0.02,0.01,0.1,0.08,0.05,0.32,0.11,0.01,0.13,0.16
BR,0.16948163154543724,0.3519384626172974,0.48156609620055607,DPZ,0.1286289703972988,0.0,-5.38%,-1.74%,4.71%,16.51%,22.40%,26.28%,-5.36%,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,BR,REGN,KR,NLOK,LUMN,DXCM,CLX,LLY,NEM,AKAM,0.32667403549793106,0.22046193696448182,0.1,0.0,0.2,0.18,0.09,0.07,0.18,0.07,0.08,0.02,0.3493939525554834,0.22318308362060987,0.04,0.01,0.12,0.23,0.11,0.06,0.24,0.09,0.08,0.01
BF-B,0.08876978802572856,0.3840496120444542,0.23114145996182742,VNT,0.028640835663756487,0.0,0.22%,-1.43%,-1.30%,5.69%,25.33%,18.67%,-7.15%,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,BF-B,REGN,VNT,KR,LLY,CLX,NLOK,LUMN,DXCM,NEM,0.33028764565215996,0.18795833992949348,0.13,0.01,0.23,0.15,0.01,0.15,0.16,0.07,0.04,0.03,0.3908117617603872,0.1968967873640398,0.0,0.03,0.28,0.1,0.08,0.27,0.02,0.08,0.04,0.1
CHRW,0.15986389177127527,0.3285365172740594,0.48659398077784943,VNT,0.126216318304392,0.0,-6.13%,2.72%,0.45%,-7.63%,20.00%,22.95%,-3.45%,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,CHRW,VNT,LUMN,LLY,REGN,FFIV,ANET,KEYS,NLOK,AMAT,0.3529960595181024,0.21646288816567166,0.11,0.21,0.09,0.04,0.11,0.17,0.0,0.05,0.22,0.0,0.4058596193087265,0.23384131788616186,0.02,0.28,0.18,0.17,0.0,0.05,0.08,0.05,0.16,0.01
COG,0.08450106257033553,0.5089256845156718,0.16603811743310318,NFLX,0.044730649880208556,0.0,3.59%,-2.25%,-7.08%,-5.65%,-4.18%,-4.33%,14.47%,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,COG,FCX,TWTR,LRCX,GOOGL,GOOG,DVA,ALGN,TROW,ANET,0.3061290398354545,0.34217528486875376,0.18,0.03,0.03,0.01,0.2,0.23,0.12,0.02,0.01,0.17,0.4745310164309738,0.4143234163847226,0.01,0.08,0.09,0.16,0.03,0.01,0.33,0.16,0.04,0.09
CDNS,0.5853930835922834,0.45129538260331803,1.2971395368935899,CARR,0.12652661335688214,2.0,-4.03%,2.06%,17.31%,27.95%,42.17%,96.70%,-2.47%,Cadence Design Systems,Information Technology,Application Software,CDNS,REGN,LUMN,KR,NLOK,DXCM,LLY,CLX,AKAM,NEM,0.309529985770007,0.2275283042087555,0.0,0.05,0.04,0.32,0.24,0.01,0.03,0.09,0.09,0.13,0.4173158919105874,0.25241731597725764,0.23,0.0,0.11,0.1,0.13,0.03,0.14,0.17,0.01,0.08
CPB,0.07575866023048557,0.3193223336584952,0.23724823554467372,SYY,-0.13965279849168455,0.0,5.53%,0.34%,-3.34%,0.68%,-1.18%,0.72%,7.01%,Campbell Soup,Consumer Staples,Packaged Foods & Meats,CPB,TT,NKE,PWR,ALXN,CARR,FDX,ALGN,ALB,FCX,0.42286070102620604,0.2887869812115014,0.32,0.01,0.14,0.03,0.17,0.12,0.07,0.03,0.01,0.1,0.8605595589918024,0.4123048537336661,0.01,0.03,0.0,0.03,0.04,0.41,0.21,0.12,0.1,0.05
COF,0.03367258637563917,0.707814144844868,0.047572638412049825,KR,-0.053365748933182654,3.0,2.76%,-6.39%,15.43%,37.73%,58.38%,-2.66%,7.18%,Capital One Financial,Financials,Consumer Finance,COF,NFLX,MKTX,AMZN,EBAY,AKAM,DG,EA,CHD,TSCO,0.30186252800739477,0.254505327195798,0.04,0.07,0.01,0.0,0.17,0.1,0.18,0.05,0.23,0.13,0.42712169869847233,0.28759153332923204,0.01,0.05,0.01,0.22,0.24,0.02,0.07,0.06,0.01,0.32
CAH,0.1263322893750868,0.4409681487350293,0.28648846801630984,VNT,0.05636073823911108,0.0,-0.34%,-0.09%,-0.99%,15.12%,4.65%,10.09%,4.54%,Cardinal Health Inc.,Health Care,Health Care Distributors,CAH,REGN,KR,CLX,NEM,DXCM,NLOK,UPS,CHD,FDX,0.3159037403763064,0.224964475468052,0.02,0.03,0.2,0.17,0.14,0.04,0.15,0.07,0.07,0.09,0.35696669709109796,0.24388246000665556,0.01,0.03,0.13,0.25,0.07,0.14,0.12,0.05,0.03,0.16
KMX,0.2888534418843514,0.5764521202745357,0.5010883501422195,KR,-0.03992574225433567,2.0,-4.96%,11.46%,1.05%,2.77%,5.48%,7.74%,29.35%,Carmax Inc,Consumer Discretionary,Specialty Stores,KMX,REGN,KR,CLX,NEM,NLOK,DXCM,MKTX,LLY,WMT,0.2879519765305151,0.21899846746708254,0.03,0.07,0.19,0.12,0.1,0.15,0.05,0.03,0.01,0.23,0.3708783497896197,0.2453542037481243,0.01,0.02,0.15,0.16,0.06,0.26,0.16,0.01,0.17,0.01
CCL,-0.8503101345990726,1.1873921388753697,-0.7161156847513224,DPZ,-0.20067481594912606,1.0,1.39%,-2.74%,8.41%,42.69%,31.91%,-56.89%,-7.76%,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",CCL,TT,ALB,FCX,LB,ANET,FFIV,TXN,GOOG,GOOGL,0.37405673667112355,0.34394958553511257,0.0,0.16,0.09,0.05,0.02,0.08,0.24,0.01,0.22,0.11,0.4936236124830517,0.4079650051086243,0.0,0.01,0.25,0.14,0.05,0.04,0.16,0.08,0.13,0.14
CARR,1.331946914694831,0.6059186404243097,2.1982273292699857,NFLX,-0.15598660119908628,4.0,-2.92%,-2.15%,-0.61%,24.19%,70.70%,nan%,0.16%,Carrier Global,Industrials,Building Products,CARR,REGN,DXCM,KR,NLOK,LLY,CLX,AKAM,LUMN,NEM,0.4028165148038526,0.21433705819816193,0.07,0.04,0.04,0.19,0.17,0.03,0.18,0.02,0.12,0.12,0.6160176457399575,0.2402186033617619,0.26,0.02,0.05,0.03,0.12,0.12,0.25,0.07,0.01,0.07
CTLT,0.6344599639030114,0.5118900527403878,1.2394457765030777,KR,0.028066844940132618,2.0,-3.35%,1.14%,8.25%,21.49%,41.98%,84.85%,8.28%,Catalent,Health Care,Pharmaceuticals,CTLT,REGN,LUMN,KR,NLOK,DXCM,VNT,LLY,CLX,AKAM,0.3573143275149192,0.19286516737496506,0.01,0.09,0.05,0.26,0.12,0.06,0.26,0.03,0.05,0.07,0.4345864950842059,0.20972046293531776,0.15,0.06,0.1,0.05,0.06,0.01,0.3,0.11,0.14,0.01
CAT,0.24055359748841224,0.44003723558566477,0.5466664591878206,CLX,0.09450164173509988,0.0,-3.51%,-0.85%,4.86%,22.78%,45.85%,26.97%,2.90%,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,CAT,REGN,KR,DXCM,NLOK,CLX,NEM,AKAM,LLY,LUMN,0.3384768110266486,0.22400792760776334,0.01,0.05,0.2,0.05,0.18,0.15,0.14,0.03,0.09,0.09,0.37416914085368497,0.23351952835692338,0.0,0.01,0.08,0.08,0.19,0.26,0.14,0.01,0.13,0.11
CBOE,-0.20085493671804008,0.4260087133931435,-0.4714808181227985,KR,0.08293128415892471,3.0,-4.36%,-1.46%,1.97%,6.62%,0.75%,-21.17%,0.99%,Cboe Global Markets,Financials,Financial Exchanges & Data,CBOE,AMAT,FFIV,NWSA,ANET,SIVB,KEYS,TROW,ALB,ALXN,0.29215266210209984,0.327405916519833,0.17,0.01,0.12,0.03,0.22,0.0,0.09,0.04,0.12,0.17,0.4572418459727616,0.3732316106538897,0.02,0.02,0.13,0.03,0.09,0.07,0.11,0.01,0.27,0.24
CBRE,0.030671493064874104,0.6024190760147515,0.05091388086144046,KR,-0.003949770433048269,3.0,-0.74%,3.94%,2.58%,33.53%,38.70%,2.33%,1.04%,CBRE Group,Real Estate,Real Estate Services,CBRE,NFLX,EBAY,MKTX,AMZN,AKAM,TSCO,EA,CHD,WST,0.3205849980709937,0.2619389743932435,0.04,0.04,0.14,0.05,0.08,0.09,0.08,0.22,0.21,0.03,0.45021585132934056,0.2792362708954516,0.0,0.01,0.15,0.11,0.2,0.03,0.08,0.07,0.1,0.25
CDW,-0.04983502756899367,0.4838458881389895,-0.1029977288030152,CLX,0.09153395567381001,3.0,-0.91%,1.24%,1.00%,10.59%,14.17%,-6.55%,2.59%,CDW,Information Technology,Technology Distributors,CDW,NEM,AKAM,DXCM,NLOK,LLY,CLX,NFLX,AMZN,KR,0.32367211685423436,0.22269106826981377,0.03,0.11,0.0,0.02,0.3,0.1,0.21,0.0,0.01,0.2,0.40135705884320105,0.24674206703467505,0.0,0.07,0.02,0.05,0.2,0.22,0.11,0.01,0.21,0.12
CE,0.015794001359831576,0.5296040850388729,0.029822280088100714,CLX,0.008711916440879784,3.0,-5.00%,-2.00%,0.47%,21.56%,52.28%,8.25%,-6.02%,Celanese,Materials,Specialty Chemicals,CE,KR,CLX,DXCM,NLOK,REGN,NEM,AKAM,LLY,LUMN,0.3175708365744448,0.22195485610007182,0.08,0.18,0.26,0.08,0.15,0.01,0.03,0.04,0.08,0.07,0.3791600900311628,0.24280319645286647,0.0,0.11,0.14,0.14,0.15,0.03,0.14,0.01,0.15,0.14
CNC,-0.040646645713585124,0.5274203584623602,-0.07706688803611267,KR,0.16499796160613414,3.0,-2.80%,-3.88%,-2.63%,2.91%,-5.54%,-4.52%,1.01%,Centene Corporation,Health Care,Managed Health Care,CNC,TSLA,FDX,UPS,CARR,TWTR,LB,TT,LUMN,DE,0.5609739037245417,0.3287558854140556,0.01,0.01,0.09,0.2,0.19,0.12,0.0,0.17,0.2,0.01,1.042686501796994,0.4026326551581153,0.02,0.21,0.07,0.05,0.31,0.09,0.04,0.06,0.08,0.06
CNP,-0.17084238197519785,0.5770531530221599,-0.2960600441752325,KR,0.044936315198538725,3.0,-4.97%,-0.09%,-6.68%,12.51%,17.47%,-17.98%,-0.23%,CenterPoint Energy,Utilities,Multi-Utilities,CNP,MKTX,ATVI,AMZN,NFLX,EBAY,AKAM,DG,EA,LLY,0.32218552454054517,0.2621117585634451,0.03,0.1,0.05,0.11,0.03,0.15,0.2,0.22,0.04,0.05,0.425606149417888,0.2837185674516088,0.02,0.03,0.11,0.24,0.04,0.25,0.01,0.04,0.0,0.25
CERN,0.1150087928036922,0.30682286256258473,0.37483775440701744,VNT,0.05607285765888465,0.0,2.42%,-0.39%,5.16%,8.87%,15.12%,8.11%,4.40%,Cerner,Health Care,Health Care Technology,CERN,KR,CLX,REGN,DXCM,NEM,NLOK,AKAM,MKTX,NFLX,0.25936779566963597,0.2209710572963307,0.23,0.28,0.03,0.09,0.01,0.13,0.18,0.0,0.01,0.03,0.3577818238457331,0.24632913204407977,0.04,0.09,0.21,0.02,0.12,0.13,0.22,0.03,0.03,0.12
CF,-0.11174282030106746,0.5740977947386117,-0.1946407412206561,CLX,0.032953806324858906,3.0,-2.62%,-4.74%,3.78%,27.32%,40.15%,-15.76%,6.61%,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,CF,DG,AMZN,EBAY,NFLX,AKAM,WST,MKTX,NVDA,BIO,0.2984898950055407,0.2647862774553083,0.07,0.26,0.06,0.18,0.02,0.24,0.01,0.11,0.0,0.05,0.4845700486182804,0.295018460344083,0.01,0.05,0.16,0.27,0.02,0.04,0.27,0.04,0.04,0.11
SCHW,0.11681709300533517,0.5182717726566721,0.22539736711210082,NEM,0.02249270960199676,0.0,-5.19%,-0.60%,8.73%,46.97%,58.65%,13.57%,2.21%,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,SCHW,AKAM,EBAY,NEM,CHD,NFLX,AMZN,NLOK,MKTX,TSCO,0.3423563225142314,0.24613974226543198,0.09,0.06,0.18,0.17,0.1,0.01,0.13,0.18,0.02,0.04,0.4213980049606986,0.26872421716333245,0.02,0.02,0.14,0.16,0.0,0.04,0.31,0.09,0.03,0.18
CHTR,0.27852906428777774,0.3516326968806692,0.792102289572633,VNT,0.07046217945139199,0.0,-5.20%,2.83%,1.47%,5.96%,29.71%,36.38%,-0.37%,Charter Communications,Communication Services,Cable & Satellite,CHTR,REGN,VNT,LUMN,LLY,KR,NLOK,DXCM,CLX,FFIV,0.35051378990517335,0.18312852331118962,0.03,0.08,0.25,0.01,0.09,0.23,0.1,0.0,0.12,0.07,0.3826243059693401,0.18893249706030119,0.03,0.02,0.28,0.04,0.04,0.18,0.07,0.08,0.24,0.03
CVX,-0.2253025970804163,0.5966926589621071,-0.37758566943375804,CLX,0.01898447768980217,3.0,-1.30%,-0.39%,-3.13%,19.02%,-2.58%,-25.95%,5.58%,Chevron Corp.,Energy,Integrated Oil & Gas,CVX,IPGP,NKE,A,INTU,PKI,TYL,TT,NDAQ,LB,0.32000861581401535,0.30650380944581973,0.02,0.07,0.05,0.22,0.04,0.17,0.23,0.08,0.1,0.01,0.3764680379671252,0.3268216748656243,0.0,0.18,0.13,0.08,0.01,0.14,0.27,0.05,0.01,0.11
